0		0
1	VariableDeclare	1
2	VariableDeclareAssign	1
3	PushNull	1
4	PushFalse	1
5	PushTrue	1
6	PushString	1
7	PushConstant	1
8	PushVariable	1
9	PopToVariable	1
10	Inc	1
11	Dec	1
12	Duplicate	1
13	DuplicateInsert	1
14	Discard	1
15	Destruct	1
16	Break	1
17	Continue	1
18	Jump	1
19	JumpIfFalse	1
20	JumpIfTrue	1
21	Return	1
22	ReturnValue	1
23	ForRangeInit	1
24	ForRangeIterate	1
25	ForRangeTerminate	1
26	InvokeUserDefinedFreeFunction	1
27	VariablePrefixInc	1
28	VariablePrefixDec	1
29	VariablePostfixInc	1
30	VariablePostfixDec	1
31	JumpIfFalseOrPop	1
32	JumpIfTrueOrPop	1
33	Not	1
34	PrimitiveEqual	1
35	ObjectEqual	1
36	PrimitiveNotEqual	1
37	ObjectNotEqual	1
38	PrimitiveLessThan	1
39	ObjectLessThan	1
40	PrimitiveLessThanOrEqual	1
41	ObjectLessThanOrEqual	1
42	PrimitiveGreaterThan	1
43	ObjectGreaterThan	1
44	PrimitiveGreaterThanOrEqual	1
45	ObjectGreaterThanOrEqual	1
46	PrimitiveNegate	1
47	ObjectNegate	1
48	PrimitiveAdd	1
49	ObjectAdd	1
50	ObjectLeftAdd	1
51	ObjectRightAdd	1
52	VariablePrimitiveInplaceAdd	1
53	VariableObjectInplaceAdd	1
54	VariableObjectInplaceRightAdd	1
55	PrimitiveSubtract	1
56	ObjectSubtract	1
57	ObjectLeftSubtract	1
58	ObjectRightSubtract	1
59	VariablePrimitiveInplaceSubtract	1
60	VariableObjectInplaceSubtract	1
61	VariableObjectInplaceRightSubtract	1
62	PrimitiveMultiply	1
63	ObjectMultiply	1
64	ObjectLeftMultiply	1
65	ObjectRightMultiply	1
66	VariablePrimitiveInplaceMultiply	1
67	VariableObjectInplaceMultiply	1
68	VariableObjectInplaceRightMultiply	1
69	PrimitiveDivide	1
70	ObjectDivide	1
71	ObjectLeftDivide	1
72	ObjectRightDivide	1
73	VariablePrimitiveInplaceDivide	1
74	VariableObjectInplaceDivide	1
75	VariableObjectInplaceRightDivide	1
76	PrimitiveModulo	1
77	VariablePrimitiveInplaceModulo	1
78	InitialiseArray	1
79	ContractVariableDeclareAssign	1
80	InvokeContractFunction	1
81	PushLargeConstant	1
82	::toInt8^[AnyPrimitive]^Int8	1
83	::toUInt8^[AnyPrimitive]^UInt8	1
84	::toInt16^[AnyPrimitive]^Int16	1
85	::toUInt16^[AnyPrimitive]^UInt16	1
86	::toInt32^[AnyPrimitive]^Int32	1
87	::toUInt32^[AnyPrimitive]^UInt32	1
88	::toInt64^[AnyPrimitive]^Int64	1
89	::toUInt64^[AnyPrimitive]^UInt64	1
90	::toFloat32^[AnyPrimitive]^Float32	1
91	::toFloat64^[AnyPrimitive]^Float64	1
92	::toFixed32^[AnyPrimitive]^Fixed32	1
93	::toFixed64^[AnyPrimitive]^Fixed64	1
94	::toFixed128^[AnyPrimitive]^Fixed128	1
95	Matrix::[Constructor]^Int32,Int32^Matrix	1
96	Matrix::[GetIndexedValue]^[AnyInteger],[AnyInteger]^[TemplateParameter1]	1
97	Matrix::[SetIndexedValue]^[AnyInteger],[AnyInteger],[TemplateParameter1]^Void	1
98	Array::[Constructor]^Int32^Array	1
99	Array::append^[TemplateParameter1]^Void	1
100	Array::count^^Int32	1
101	Array::erase^Int32^Void	1
102	Array::extend^Array^Void	1
103	Array::popBack^^[TemplateParameter1]	1
104	Array::popBack^Int32^Array	1
105	Array::popFront^^[TemplateParameter1]	1
106	Array::popFront^Int32^Array	1
107	Array::reverse^^Void	1
108	Array::[GetIndexedValue]^[AnyInteger]^[TemplateParameter1]	1
109	Array::[SetIndexedValue]^[AnyInteger],[TemplateParameter1]^Void	1
110	String::find^String^Int32	1
111	String::length^^Int32	1
112	String::sizeInBytes^^Int32	1
113	String::reverse^^String	1
114	String::split^String^Array<String>	1
115	String::substr^Int32,Int32^String	1
116	String::trim^^String	1
117	Map::[Constructor]^^Map	1
118	Map::count^^Int32	1
119	Map::[GetIndexedValue]^[TemplateParameter1]^[TemplateParameter2]	1
120	Map::[SetIndexedValue]^[TemplateParameter1],[TemplateParameter2]^Void	1
121	Address::[Constructor]^String^Address	1
122	Address::signedTx^^Bool	1
123	::toString^Address^String	1
124	State::[Constructor]^String^State	1
125	State::[Constructor]^Address^State	1
126	State::get^^[TemplateParameter1]	1
127	State::get^[TemplateParameter1]^[TemplateParameter1]	1
128	State::set^[TemplateParameter1]^Void	1
129	State::existed^^Bool	1
130	ShardedState::[Constructor]^String^ShardedState	1
131	ShardedState::[Constructor]^Address^ShardedState	1
132	ShardedState::get^String^[TemplateParameter1]	1
133	ShardedState::get^Address^[TemplateParameter1]	1
134	ShardedState::get^String,[TemplateParameter1]^[TemplateParameter1]	1
135	ShardedState::get^Address,[TemplateParameter1]^[TemplateParameter1]	1
